127.0.0.1 - - [11/Jul/2023:13:52:01 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [11/Jul/2023:13:52:03 +0530] "GET /PhoneBookProject/ HTTP/1.1" 200 29305
0:0:0:0:0:0:0:1 - - [11/Jul/2023:13:52:03 +0530] "GET /PhoneBookProject/assets/vendors/css/vendor.bundle.base.css HTTP/1.1" 200 2714
0:0:0:0:0:0:0:1 - - [11/Jul/2023:13:52:03 +0530] "GET /PhoneBookProject/assets/css/style.css HTTP/1.1" 200 418910
0:0:0:0:0:0:0:1 - - [11/Jul/2023:13:52:03 +0530] "GET /PhoneBookProject/assets/vendors/mdi/css/materialdesignicons.min.css HTTP/1.1" 200 163361
0:0:0:0:0:0:0:1 - - [11/Jul/2023:13:52:03 +0530] "GET /PhoneBookProject/assets/vendors/js/vendor.bundle.base.js HTTP/1.1" 200 187201
0:0:0:0:0:0:0:1 - - [11/Jul/2023:13:52:04 +0530] "GET /PhoneBookProject/assets/vendors/chart.js/Chart.min.js HTTP/1.1" 200 173077
0:0:0:0:0:0:0:1 - - [11/Jul/2023:13:52:04 +0530] "GET /PhoneBookProject/assets/js/jquery.cookie.js HTTP/1.1" 200 3121
0:0:0:0:0:0:0:1 - - [11/Jul/2023:13:52:04 +0530] "GET /PhoneBookProject/assets/js/off-canvas.js HTTP/1.1" 200 185
0:0:0:0:0:0:0:1 - - [11/Jul/2023:13:52:04 +0530] "GET /PhoneBookProject/assets/js/hoverable-collapse.js HTTP/1.1" 200 901
0:0:0:0:0:0:0:1 - - [11/Jul/2023:13:52:04 +0530] "GET /PhoneBookProject/assets/js/misc.js HTTP/1.1" 200 5993
0:0:0:0:0:0:0:1 - - [11/Jul/2023:13:52:04 +0530] "GET /PhoneBookProject/assets/js/dashboard.js HTTP/1.1" 200 19253
0:0:0:0:0:0:0:1 - - [11/Jul/2023:13:52:04 +0530] "GET /PhoneBookProject/assets/js/todolist.js HTTP/1.1" 200 972
0:0:0:0:0:0:0:1 - - [11/Jul/2023:13:52:04 +0530] "GET /PhoneBookProject/assets/images/logo2.png HTTP/1.1" 200 47684
0:0:0:0:0:0:0:1 - - [11/Jul/2023:13:52:04 +0530] "GET /PhoneBookProject/assets/images/logo-mini.svg HTTP/1.1" 200 2007
0:0:0:0:0:0:0:1 - - [11/Jul/2023:13:52:04 +0530] "GET /PhoneBookProject/assets/images/dashboard/circle.svg HTTP/1.1" 200 920
0:0:0:0:0:0:0:1 - - [11/Jul/2023:13:52:04 +0530] "GET /PhoneBookProject/assets/images/faces/face1.jpg HTTP/1.1" 200 12977
0:0:0:0:0:0:0:1 - - [11/Jul/2023:13:52:04 +0530] "GET /PhoneBookProject/assets/images/faces/face2.jpg HTTP/1.1" 200 13360
0:0:0:0:0:0:0:1 - - [11/Jul/2023:13:52:04 +0530] "GET /PhoneBookProject/assets/images/faces/face3.jpg HTTP/1.1" 200 15550
0:0:0:0:0:0:0:1 - - [11/Jul/2023:13:52:04 +0530] "GET /PhoneBookProject/assets/images/faces/face4.jpg HTTP/1.1" 200 11728
0:0:0:0:0:0:0:1 - - [11/Jul/2023:13:52:04 +0530] "GET /PhoneBookProject/assets/images/dashboard/img_1.jpg HTTP/1.1" 200 21936
0:0:0:0:0:0:0:1 - - [11/Jul/2023:13:52:04 +0530] "GET /PhoneBookProject/assets/images/dashboard/img_4.jpg HTTP/1.1" 200 24674
